position,club,points,expenditure_m,season
11,NA,43,0,2024/25
12,NA,43,0,2024/25
13,NA,38,0,2024/25
14,NA,38,0,2024/25
15,NA,37,0,2024/25
16,NA,35,0,2024/25
17,NA,35,0,2024/25
18,NA,21,0,2024/25
19,NA,18,0,2024/25
20,NA,10,0,2024/25
1,NA,76,0,2025/26
2,NA,63,0,2025/26
3,NA,57,0,2025/26
4,NA,56,0,2025/26
5,NA,55,0,2025/26
6,NA,54,0,2025/26
7,NA,54,0,2025/26
8,NA,48,0,2025/26
9,NA,48,0,2025/26
10,NA,45,0,2025/26
11,NA,43,0,2025/26
12,NA,43,0,2025/26
13,NA,38,0,2025/26
14,NA,38,0,2025/26
15,NA,37,0,2025/26
16,NA,35,0,2025/26
17,NA,35,0,2025/26
18,NA,21,0,2025/26
19,NA,18,0,2025/26
20,NA,10,0,2025/26
